146	91
53030	52904	53121	53372	53054	52850	53108	52872	52839	52949	52738	53059	53232	52924	52933	53048	53020	53028	52977	53058	53105	52895	53108	53267	53063	53105	53277	52892	53143	53077	53270	53098	53008	53120	53188	52821	52499	53267	53054	52924	52667	53029	53297	53081	52997	53083	53121	53118	52987	53064	53100	53115	53280	52846	53461	52888	53207	53020	52610	52845	52424	53380	53144	53347	53456	53178	52880	53099	53236	52968	53314	52964	53107	53219	52950	52794	52929	52524	52852	52624	53210	52861	52999	53178	52978	52944	53158	53190	53289	52956	53232	
53029	53310	53527	52928	54100	53390	52999	53115	52932	53945	52936	53874	52993	53020	53443	53461	53041	53088	53397	53414	53337	53247	53978	53769	53301	53218	53158	53410	53376	53723	53511	53746	53210	52834	54025	53610	53481	54074	53561	53393	53337	53183	52899	52728	53080	53066	53230	54062	53090	53725	53871	53438	52790	52551	53819	53496	52671	53648	53536	53538	53017	53974	53733	53606	54041	54908	53530	53266	53369	53363	53283	53283	52663	53058	52652	53175	53106	53390	52908	53446	53343	53670	53187	53710	53232	53683	53597	53140	53473	52628	53049	
52752	53004	52686	53523	52937	52745	53214	52714	53184	53029	52978	53455	53123	53183	52780	53211	53178	52911	52837	53044	53177	52899	53172	52538	52951	52752	52910	53205	52590	52934	52921	52544	53398	53182	53227	53069	53475	52858	53013	53149	52739	53015	53025	52893	52951	53079	53063	52963	52880	52941	53043	52718	53242	52972	53157	52663	53006	52519	52902	53440	53286	52804	52924	52923	52877	53058	53389	53539	53209	53069	53095	53144	53155	52941	53173	52999	53035	52786	53200	53102	53252	52790	53356	53138	53382	52791	52880	52913	52619	52800	53091	
53008	53056	52869	53218	52909	53382	53066	52980	53191	53395	53644	53003	52960	53174	53225	53012	53281	52954	53642	53195	53334	53445	54452	53367	52533	53123	52682	53646	54058	53298	53433	53201	52826	53091	52834	53075	54078	53111	53619	53090	53981	53356	52705	53715	53137	52964	54120	53201	53440	53811	54286	53093	53666	53287	54100	52510	53598	53655	52315	53222	52762	53244	52288	53157	53194	53753	53877	53744	53574	52335	53931	52856	53642	53228	53156	52983	53688	53335	53380	53052	53734	53199	53536	53761	53613	53468	52898	53170	53985	54220	53685	
53128	53468	52854	52907	52837	52752	53033	52993	52964	52974	52958	53117	53115	53179	53122	53229	53097	53198	53075	53104	53174	53489	52842	53100	53690	53321	53396	52811	53090	52983	53138	52845	53183	52883	53059	53508	52649	53474	53149	52894	53255	52994	53115	53175	53175	52939	52978	52966	52833	52699	52922	53372	52904	53148	53177	52829	53267	53041	53043	53116	53258	53074	53079	52737	53170	53397	53205	53222	53284	53009	52878	53242	53191	52802	53121	53362	53127	53109	53223	53230	53195	53019	53315	52868	52848	53264	52950	52842	53003	53203	52606	
53277	53135	52864	53383	53071	53151	52538	53776	53556	53199	53299	52663	52846	53632	53409	53248	53941	53411	52811	53141	52815	53256	53754	52821	53289	53364	52903	53565	52701	53219	53099	52840	53136	53193	53143	53140	53194	52943	53552	52780	54133	52460	53104	52868	53428	52693	52884	53340	53133	53500	53061	53240	53032	52827	53268	52850	53917	53536	52122	52950	53058	52727	53604	53463	53944	53213	53401	52380	53221	54157	53173	53295	53044	53587	53556	53113	53560	53693	53543	53100	53143	53058	53278	53884	54400	53625	52888	53225	52947	54600	54007	
52600	52881	52972	53087	53108	52836	52849	53082	53080	52917	52714	53164	52985	53012	52829	52952	53037	53187	53280	53086	52792	53012	52956	52852	52688	52895	53196	52913	52995	53018	53054	53244	53087	53163	53071	53211	53152	52800	52857	52883	53213	53060	52830	52894	53155	53055	53355	53205	53003	53087	53042	52821	53363	53054	52724	52519	53100	52967	53119	52864	53067	53069	52815	53044	53002	52811	53108	53135	53256	53265	52972	52724	53043	53022	52944	53035	52933	52826	52743	53018	52673	53011	52832	52928	53048	52791	52840	53064	53034	53485	52690	
52747	53368	52990	52399	52790	54061	53099	53188	52727	53159	53108	52822	53144	53053	52827	52919	53364	53049	53277	53294	52960	52956	53233	52912	52533	52889	53769	53294	53168	52557	53616	53601	53080	54321	53713	53796	53529	53024	53401	54307	52795	53484	53331	52847	53159	53379	52993	53301	52961	52813	53274	53093	52659	53242	52873	54528	53281	53469	53106	53614	53038	53261	53183	53467	53207	52645	52735	53224	52993	53564	53251	53129	53395	52919	53923	54040	52962	53712	53449	53068	53822	52432	53612	53116	53001	53507	53379	52794	54083	52894	53543	
53274	52589	52684	52866	52645	53254	53234	53302	53104	53164	52894	53256	53244	53210	53043	52855	53101	53022	53346	53514	52963	53105	52831	52766	53237	53288	52980	52889	52792	52923	53011	53465	53232	52927	52753	53177	52660	52999	53033	53230	53565	53179	53021	53216	53045	53222	53208	53060	53129	52848	52564	52966	52967	52852	53093	53491	53116	52984	53289	52997	52710	52964	52892	52974	52870	53222	53239	53141	52987	53235	52832	53262	52783	53329	52997	52678	52898	52913	52759	52866	53464	53269	53393	52631	52955	53344	53026	52958	53187	53072	53115	
52896	53672	52714	52723	52608	52905	53419	53191	54108	53014	53400	52820	53582	53336	52497	52698	53786	53327	52844	53048	53434	52609	52713	53193	53285	53925	53387	53326	53080	53330	53340	53813	53222	53654	53357	53122	52829	53046	53405	53542	53031	52430	52698	52678	52460	53258	53136	53629	53326	53161	53473	53658	52939	53234	51856	53328	53535	52328	52991	53316	53717	54081	53378	53912	53245	53232	53298	52826	53146	53646	53189	53085	53305	52927	53308	53015	52822	53161	53428	53447	53142	53423	53609	53221	53090	53101	53669	53268	53922	53474	53936	
